,ids
2483,32154103
2484,11379196
2485,40542720
2486,39559681
2487,37364231
2488,35332621
2489,5480976
2490,23536148
2491,23372309
2492,20554263
2493,9576984
2494,31498776
2495,40641052
2496,39232029
2497,29303339
2498,35267116
2499,21078574
2500,4923963
2501,11969085
2502,38675008
2503,29303361
2504,2564678
2505,172616
2506,37560904
2507,35168841
2508,18227785
2509,33497677
2510,3580497
2511,40739410
2512,35496535
2513,28615266
2514,12952166
2515,28222057
2516,30122606
2517,8626799
2518,38412919
2519,1516154
2520,3351169
2521,29926026
2522,23962251
2523,1581707
2524,29926030
2525,30417552
2526,19571344
2527,17638039
2528,20554396
2529,26813089
2530,28287649
2531,36184740
2532,22880935
2533,18326185
2534,34644650
2535,34546362
2536,23438013
2537,38609605
2538,29926099
2539,18096865
2540,39887589
2541,8069864
2542,31859435
2543,40968939
2544,25141997
2545,22815476
2546,23732980
2547,34317053
2548,26813184
2549,34480896
2550,37528325
2551,13148936
2552,34513678
2553,13509392
2554,39101203
2555,31236885
2556,34874134
2557,6365974
2558,25895701
2559,28025633
2560,28615463
2561,14197548
2562,15409971
2563,35038005
2564,31859510
2565,26813241
2566,24486718
2567,21177166
2568,29926223
2569,39592786
2570,20357970
2571,5645139
2572,39297877
2573,39461714
2574,14590810
2575,31859547
2576,35496807
2577,23241579
2578,39723892
2579,31302521
2580,15672186
2581,32940922
2582,32744314
2583,29991802
2584,36021125
2585,31859589
2586,35038092
2587,38314895
2588,39560079
2589,37430166
2590,14885789
2591,32121759
2592,13280160
2593,40313771
2594,33563565
2595,40706989
2596,31859640
2597,40936383
2598,20915137
2599,4400072
2600,34382793
2601,1614802
2602,13345749
2603,39658453
2604,32089047
2605,13280223
2606,24781798
2607,13280235
2608,33399794
2609,38806518
2610,38872055
2611,33170424
2612,27468792
2613,29991933
2614,31859709
2615,40870912
2616,40838147
2617,22389768
2618,2499596
2619,7414801
2620,40313874
2621,28779546
2622,38544414
2623,22881311
2624,11674658
2625,38347811
2626,7906341
2627,21472296
2628,20325423
2629,30909493
2630,21013562
2631,34481210
2632,29631546
2633,13509694
2634,4105283
2635,24945733
2636,39396422
2637,26256457
2638,39396431
2639,11510864
2640,39658581
2641,38675544
2642,34153561
2643,32384090
2644,18359392
2645,27403361
2646,22750307
2647,37299299
2648,11641955
2649,25011303
2650,20358249
2651,33498221
2652,5874798
2653,39396472
2654,7513210
2655,40641659
2656,26715258
2657,30188669
2658,40379530
2659,13247627
2660,32941196
2661,34088078
2662,27436176
2663,31827090
2664,34546846
2665,26780835
2666,32941223
2667,26256556
2668,11740335
2669,15508656
2670,9708726
2671,36218038
2672,32941252
2673,21439686
2674,14820556
2675,6104268
2676,34481359
2677,5481685
2678,29009115
2679,38839516
2680,33465563
2681,1778910
2682,29009120
2683,27337953
2684,40346851
2685,41034980
2686,38905062
2687,18293990
2688,8889577
2689,36447468
2690,26256629
2691,35267831
2692,21701883
2693,32056572
2694,10069247
2695,40838400
2696,13247748
2697,31630602
2698,5383435
2699,2139407
2700,34448656
2701,31073560
2702,36644123
2703,40674594
2704,697634
2705,32941356
2706,26060078
2707,29893935
2708,28386618
2709,32941370
2710,30123323
2711,22783297
2712,20456769
2713,533831
2714,40707401
2715,37365067
2716,33432909
2717,37397842
2718,38774098
2719,34841941
2720,29369685
2721,16229723
2722,18949467
2723,11314527
2724,36447597
2725,34874734
2726,29304175
2727,37561710
2728,22586737
2729,22881650
2730,16885107
2731,32941424
2732,11904373
2733,17147256
2734,32613753
2735,32941434
2736,37004668
2737,29435266
2738,13149571
2739,35825029
2740,39626118
2741,30582152
2742,32941449
2743,32941460
2744,31696279
2745,15115673
2746,39691676
2747,9610654
2748,32941475
2749,31335843
2750,19473835
2751,21472684
2752,26846637
2753,29107633
2754,32155059
2755,40445364
2756,32941494
2757,30254519
2758,40773050
2759,21177789
2760,40871361
2761,30811588
2762,32941509
2763,26256844
2764,34940364
2765,32941522
2766,38479316
2767,29959640
2768,21636569
2769,22685146
2770,18523616
2771,36840930
2772,19932652
2773,7579116
2774,37496302
2775,24061425
2776,32941556
2777,20293109
2778,34317819
2779,34121212
2780,36382205
2781,6039038
2782,32941566
2783,39134724
2784,40707589
2785,21308934
2786,12035588
2787,32941580
2788,26420762
2789,38544931
2790,239140
2791,32613925
2792,32941608
2793,23635501
2794,32941621
2795,38184505
2796,22881852
2797,24651325
2798,33433153
2799,7513667
2800,32941636
2801,32384583
2802,39167560
2803,21636681
2804,20194893
2805,32941647
2806,18785874
2807,9811
2808,4793938
2809,32941659
2810,14820957
2811,31565407
2812,26814049
2813,39364197
2814,33138279
2815,28714602
2816,38413932
2817,33039987
2818,33171060
2819,34317941
2820,26257014
2821,31598201
2822,27338362
2823,37955193
2824,11282049
2825,32384645
2826,21309064
2827,26715790
2828,7677586
2829,34678419
2830,22226580
2831,32941720
2832,36447901
2833,32941732
2834,32286383
2835,21178038
2836,19113654
2837,32941754
2838,31827645
2839,32941771
2840,23799502
2841,37365455
2842,39954136
2843,31696612
2844,18949863
2845,29697769
2846,20457194
2847,20588269
2848,28681973
2849,38479607
2850,11609854
2851,34514690
2852,38479618
2853,39692037
2854,23766789
2855,37005063
2856,14296844
2857,26846992
2858,12330769
2859,38479634
2860,8070936
2861,40970015
2862,34809632
2863,18458402
2864,21309220
2865,20457252
2866,34809639
2867,40773417
2868,1746734
2869,29304622
2870,30746416
2871,27109169
2872,26683187
2873,34121529
2874,25569083
2875,32941887
2876,960326
2877,19081035
2878,29370193
2879,34383700
2880,23668564
2881,40871767
2882,38774621
2883,31762271
2884,31336298
2885,38315882
2886,38545261
2887,23963512
2888,22325114
2889,20785021
2890,17213309
2891,20227969
2892,20916099
2893,39298954
2894,39823246
2895,15771536
2896,18687892
2897,36644757
2898,33662870
2899,1648535
2900,7808921
2901,39135145
2902,35366827
2903,19998637
2904,28944306
2905,32712634
2906,22882236
2907,26978242
2908,40708038
2909,20817864
2910,34088913
2911,38873046
2912,40839133
2913,38905823
2914,39135199
2915,39987173
2916,36841447
2917,34514935
2918,19474423
2919,37300218
2920,15149053
2921,40151038
2922,11544575
2923,37201923
2924,20359172
2925,13674513
2926,15673365
2927,34121753
2928,19114011
2929,34514974
2930,38709279
2931,1648671
2932,36808735
2933,30976034
2934,18786342
2935,38545457
2936,31860794
2937,31565885
2938,39888960
2939,8988738
2940,38643778
2941,27371590
2942,8824905
2943,15116366
2944,34383951
2945,35170385
2946,21178458
2947,731232
2948,38742123
2949,15771760
2950,35235958
2951,21473402
2952,34711681
2953,12855435
2954,38545549
2955,731281
2956,1648786
2957,37595284
2958,18458784
2959,38578338
2960,24062119
2961,7022763
2962,7678127
2963,22685871
2964,40675506
2965,23537844
2966,38185143
2967,23537855
2968,13150401
2969,4335812
2970,35236039
2971,29010135
2972,37234907
2973,14166242
2974,40937698
2975,22358244
2976,27928805
2977,28453100
2978,14231792
2979,24783093
2980,34318581
2981,33335541
2982,40216827
2983,23963902
2984,30484740
2985,27961613
2986,6990105
2987,16689440
2988,11675937
2989,39266604
2990,29927726
2991,15247678
2992,38644031
2993,32876864
2994,15771978
2995,32123216
2996,33663314
2997,33073493
2998,33040726
2999,39889242
3000,24979812
3001,39627109
3002,15804772
3003,38381924
3004,33040744
3005,24422763
3006,26061168
3007,10610
3008,40249714
3009,207218
3010,31566197
3011,1321332
3012,20621687
3013,18688380
3014,33040765
3015,18524555
3016,12560787
3017,33040788
3018,10070422
3019,31566231
3020,11774365
3021,31795621
3022,33040811
3023,21473709
3024,27732402
3025,6793653
3026,18459066
3027,28780992
3028,33040837
3029,31566290
3030,40282579
3031,13347295
3032,29436384
3033,33040876
3034,27830773
3035,30484983
3036,34941434
3037,34449915
